,problem,dim,n_init,n_iter,metric,solution_f,seed,iteration,nu,length_scale,metric_values,x,f,f_model,time,x_best,f_best
0,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,1,,,,"[-0.6369616873214543, -3.26978671376387]",59.87543354516566,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
1,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,2,,,,"[0.959026476063805, -2.0165276355285293]",57.809346298074274,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
2,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,3,,,,"[2.1867297607997287, 2.0872444227222786]",88.21425096721082,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
3,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,4,,,,"[1.3933642242328208, 3.270503439016002]",112.12894562899801,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
4,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,5,,,,"[-2.543624991465423, -4.935072423787768]",95.85731426389867,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
5,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,6,,,,"[-1.8158535541215324, -0.002738500170147873]",65.28483722769428,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
6,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,7,,,,"[-3.8574042765875696, 4.966414424694536]",135.99055965202757,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
7,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,8,,,,"[4.270344553570055, 0.8243443793974414]",81.26703364775798,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
8,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,9,,,,"[-4.863178922349887, 1.4585387797509082]",124.27520011607346,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
9,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,10,,,,"[3.7002881094626154, -1.4226872211976582]",55.76717949236985,,,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
10,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,11,0.5,5.3486307626544205,0.9680851063829787,"[5.0, -5.0]",60.52278196792389,70.57640024530133,0.3380703926086426,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
11,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,12,0.5,6.032224451658992,0.9617794486215538,"[2.397416511652189, -4.249102696262037]",57.26457890561798,60.241738902578376,0.5272617340087891,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
12,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,13,0.5,6.897197622102911,0.9540910773787487,"[5.0, -2.8314928769056515]",80.51006744904228,59.856610639832454,0.5357630252838135,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
13,bbob.lunacek_bi_rastrigin,2,10,20,suitability_ext,47.56,0,14,0.5,5.50502072035652,0.933641975308642,"[2.41116069539734, -2.530109049222937]",62.161712343922574,57.30144105375339,0.4424135684967041,"[1.9630564652189157, -0.8878670202908568]",53.10159510733926
